id,title,external_id,overview,vote_average,poster_path
29,Luca,508943,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,8,/jTswp6KyDYKtvC52GbHagrZbGvD.jpg
32,My Little Pony: A New Generation,597316,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",8,/hzq5XRGgm6NDMOW1idUvbpGqEkv.jpg
43,Cruella,337404,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",8,/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg
46,Infinite,581726,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",7,/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg
55,Rurouni Kenshin: The Beginning,672322,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",7,/rODS466qSdrwMlGdbUwPENhDN2c.jpg
57,Dynasty Warriors,525660,"Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms.""",6,/7BCTdek5LFHglcgl7shsm7igJAH.jpg
60,Narco Sub,706972,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",7,/7p0O4mKYLIhU2E5Zcq9Z3vOZ4e9.jpg
63,Zack Snyder's Justice League,791373,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",8,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg
70,Eggs Run,573164,A rooster and his fowl partner embark on a dangerous trip to the Congo to recover their stolen eggs from a group of Russian goons.,8,/wrlQnKHLCBheXMNWotyr5cVDqNM.jpg
74,"Barbie: Big City, Big Dreams",850818,"Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an excusive summer performing arts program and meets…Barbie!  Fast friends, the two discover they share more than a name as they explore New York City and all the amazing things they have in common.  As they compete for the coveted once-in-a-lifetime Spotlight Solo from Times Square, the friends discover competition isn’t all about winning, it’s about striving to be your best, overcoming doubts, and sharing the spotlight.",7,/jeggetf6lrd0dhtcbqJH75Sik4K.jpg
